lane_id,edge_id,tls_id
218918469#0_0,218918469#0,cluster_13298747750_13298747754_7007141699
749310218#2_0,749310218#2,cluster_13298747750_13298747754_7007141699
1173597755#11_0,1173597755#11,13298747744
218918472#9_0,218918472#9,13298747744
1173597755#12_0,1173597755#12,13298747745
218918472#10_0,218918472#10,13298747745
1173597755#13_0,1173597755#13,13298747746
218918472#11_0,218918472#11,13298747746
1173597755#2_0,1173597755#2,13298747730
219372550#7_0,219372550#7,13298747730
1173597755#3_0,1173597755#3,13298747731
219372550#6_0,219372550#6,13298747731
1173597755#5_0,1173597755#5,13298747732
219372550#5_0,219372550#5,13298747732
1173597755#6_0,1173597755#6,cluster_13298747733_13298747737_663825864
1173597755#6_0,1173597755#6,cluster_13298747733_13298747737_663825864
218918472#8_0,218918472#8,cluster_13298747733_13298747737_663825864
219372550#4_0,219372550#4,cluster_13298747733_13298747737_663825864
50219794#4_0,50219794#4,cluster_13298747733_13298747737_663825864
50219794#4_1,50219794#4,cluster_13298747733_13298747737_663825864
50219794#4_1,50219794#4,cluster_13298747733_13298747737_663825864
1173597755#7_0,1173597755#7,13298747734
219372550#3_0,219372550#3,13298747734
1173597755#8_0,1173597755#8,13298747735
219372550#1_0,219372550#1,13298747735
1388181076#4_0,1388181076#4,cluster_13298740740_664446558
1388181076#4_0,1388181076#4,cluster_13298740740_664446558
1389216080#2_0,1389216080#2,cluster_13298740740_664446558
1389216080#2_0,1389216080#2,cluster_13298740740_664446558
218918472#4_0,218918472#4,cluster_13298740740_664446558
219372550#9_0,219372550#9,cluster_13298740740_664446558
219055485#7_0,219055485#7,663826006
