node_id,node_type,has_signal,num_lanes_total,num_connected_edges,avg_speed_limit_ms,lat,lon,total_vehicle_count,mean_speed_ms,max_speed_observed_ms,total_halting_count,mean_occupancy_pct,mean_gap_m,min_gap_m,mean_rel_velocity_ms,mean_time_gap_s,min_time_gap_s,mean_acceleration_ms2,min_acceleration_ms2,total_hard_brakes,num_lane_rows,total_conflicts,severe_conflicts,mean_min_ttc,mean_max_drac,mean_pet,mean_distance_to_node
1191714332,priority,False,4,4,9.72,22.56749455163885,88.36245921797195,0.0,13.89,13.89,0.0,0.0,,,,,,-2.36,-5.0,13.0,3.0,0.0,0.0,,,,
1189036844,priority,False,4,4,13.89,22.571206214898417,88.36100916476661,0.0,22.22,17.96,0.0,0.0,36.27333333333333,16.73,4.3,2.4966666666666666,1.09,-0.4066666666666667,-4.98,4.0,3.0,0.0,0.0,,,,
11126932585,priority,False,2,2,13.89,22.570911751238597,88.36106443144311,,,,,,,,,,,,,,,0.0,0.0,,,,
11126932584,priority,False,4,4,18.05,22.571097688635373,88.36117508501621,1.0,17.213333333333335,17.17,0.0,0.0366666666666666,23.57,5.3,3.1625,1.925,0.58,-1.6816666666666666,-5.0,10.0,6.0,0.0,0.0,,,,
11190263237,right_before_left,False,6,6,5.56,22.577077641398912,88.36088038295007,,,,,,,,,,,,,,,0.0,0.0,,,,
11190215836,priority,False,6,4,12.97,22.577165533234627,88.36033533289827,,,,,,,,,,,,,,,0.0,0.0,,,,
11190263238,priority,False,2,2,5.56,22.57746626192943,88.36096939855439,,,,,,,,,,,,,,,0.0,0.0,,,,
11190263239,priority,False,2,2,5.56,22.57692700734368,88.3608458356335,,,,,,,,,,,,,,,0.0,0.0,,,,
11282869379,priority,False,6,6,9.26,22.567573010894687,88.34479996311808,3.0,10.885,12.46,0.0,0.022,85.54333333333334,31.54,1.3033333333333337,7.996666666666667,3.32,-0.049,-2.31,0.0,10.0,0.0,0.0,,,,
10279761590,priority,False,6,6,12.97,22.569485201332807,88.34954212671214,0.0,27.78,17.8,0.0,0.0,,,,,,0.0966666666666666,-1.94,0.0,3.0,0.0,0.0,,,,
1190100283,priority,False,2,2,5.56,22.56962827876176,88.34905705637141,,,,,,,,,,,,,,,0.0,0.0,,,,
1190100139,priority,False,4,4,8.33,22.56946409898369,88.3496134999425,3.0,10.624285714285715,12.27,0.0,0.0457142857142857,94.00714285714284,10.87,0.3414285714285713,9.032857142857145,1.13,-0.7114285714285715,-5.0,17.0,7.0,0.0,0.0,,,,
1190100094,priority,False,2,2,5.56,22.570018003460103,88.34916617545836,,,,,,,,,,,,,,,0.0,0.0,,,,
1190100153,priority,False,2,2,5.56,22.569278749159366,88.34505740786483,,,,,,,,,,,,,,,0.0,0.0,,,,
1190100192,priority,False,2,2,13.89,22.567590628794004,88.34323320206872,,,,,,,,,,,,,,,0.0,0.0,,,,
1190100514,priority,False,6,6,12.04,22.56798144031785,88.34362347131253,1.0,12.022,15.03,0.0,0.001,107.765,82.62,2.075,11.09,6.47,-0.3119999999999999,-5.0,21.0,10.0,0.0,0.0,,,,
11462469754,priority,False,2,2,5.56,22.56956993532176,88.36139543557913,,,,,,,,,,,,,,,0.0,0.0,,,,
11462469753,priority,False,4,4,8.33,22.569392500606337,88.36131530682358,0.0,11.11,11.59,0.0,0.0,65.33,59.57,11.44,5.72,5.18,-0.1166666666666666,-0.95,0.0,3.0,0.0,0.0,,,,
11502623495,priority,False,2,2,2.78,22.573144558160177,88.35473972428173,,,,,,,,,,,,,,,0.0,0.0,,,,
9189383180,priority,False,4,4,8.34,22.567386647481182,88.35752427776262,0.0,11.1125,13.89,0.0,0.0,23.29,9.3,5.609999999999999,3.9375,1.33,-1.9,-5.0,20.0,4.0,0.0,0.0,,,,
10281958930,priority,False,6,4,15.74,22.57436364454776,88.35928283867838,1.0,16.452857142857145,17.95,0.0,0.0064285714285714,82.558,1.66,-1.044,8.022,0.13,0.2328571428571428,-5.0,2.0,14.0,0.0,0.0,,,,
12123617513,priority,False,2,2,2.78,22.56987814776345,88.36223319012906,,,,,,,,,,,,,,,0.0,0.0,,,,
10281958927,priority,False,6,4,15.74,22.573081889910224,88.35886704418475,4.0,15.40529411764706,17.98,0.0,0.0117647058823529,92.62,15.4,0.9655555555555556,7.17111111111111,1.09,0.0605882352941176,-5.0,12.0,17.0,2.0,0.0,1.8,2.5,,4.6121911289361525e-05
1189036615,priority,False,4,4,13.89,22.57306636448053,88.35716656659557,16.0,11.25125,17.94,11.0,0.2375,27.97125,0.0,4.16,2.43875,0.5,-0.315,-5.0,27.0,8.0,60.0,10.0,2.2353333333333336,2.067,,0.0001346911412319
1189036584,priority,False,6,6,12.04,22.57709237688228,88.35863764468428,0.0,12.8475,12.75,0.0,0.0,118.895,10.88,-0.125,14.9475,1.57,-1.82,-5.0,36.0,8.0,4.0,0.0,2.405,0.7525,1.38,4.429243078160279e-05
1177161205,priority,False,6,6,8.34,22.57277401329285,88.35590181023794,1.0,13.885,15.74,0.0,0.0116666666666666,70.738,15.63,0.094,5.44,1.12,2.312964634635743e-18,-2.53,0.0,6.0,0.0,0.0,,,,
13619904153,priority,False,4,4,6.94,22.57176368354806,88.35400517731108,1.0,8.24,12.66,0.0,0.005,57.0225,13.34,2.8275,5.3825,1.27,-0.1533333333333333,-4.58,4.0,6.0,0.0,0.0,,,,
cluster_10281958935_12287656430_12287656431_663940647,priority,False,12,8,13.89,22.57694084764581,88.36019268570035,4.0,14.362105263157895,17.26,0.0,0.0063157894736842,101.985,16.67,-5.5425,13.114999999999998,1.31,-0.3263157894736842,-5.0,33.0,19.0,0.0,0.0,,,,
663940642,traffic_light,True,6,6,12.04,22.57742163950081,88.35576716121726,3.0,9.8,13.55,1.0,0.0118181818181818,63.89000000000001,1.0,-2.313333333333333,7.935,6.84,-0.2490909090909091,-5.0,30.0,11.0,0.0,0.0,,,,
664447208,priority,False,6,6,12.04,22.57719860124379,88.35785691980878,1.0,11.550999999999998,15.57,0.0,0.004,11.84,3.9,0.1149999999999999,1.265,0.42,-0.348,-5.0,14.0,10.0,2.0,0.0,2.3,0.75,,9.06859982428395e-05
664446594,priority,False,6,6,12.04,22.56981906860715,88.34453747909306,7.0,11.32642857142857,15.14,0.0,0.0092857142857142,81.54375,9.0,0.06125,10.6375,1.26,0.1792857142857142,-5.0,35.0,14.0,2.0,0.0,,3.01,1.29,2.439049645100044e-05
663943263,priority,False,6,6,11.11,22.570109667776563,88.34309675297254,1.0,11.124,12.03,0.0,0.002,101.1975,6.61,1.475,9.1625,1.07,-0.296,-5.0,19.0,10.0,0.0,0.0,,,,
664446599,priority,False,6,6,12.04,22.569722163633102,88.34486010305362,0.0,12.036666666666669,15.5,0.0,0.0,110.7075,9.69,0.16,11.3575,1.38,-0.0283333333333333,-5.0,21.0,12.0,2.0,0.0,2.35,2.99,1.75,2.3507772653622988e-05
1191863980,priority,False,2,2,22.22,22.570056745232005,88.36580493197276,,,,,,,,,,,,,,,0.0,0.0,,,,
1191863749,priority,False,6,5,19.44,22.5709555779944,88.36139251171772,1.0,23.345384615384617,17.99,0.0,0.0076923076923076,31.0925,0.1,-0.3375,3.04375,0.61,-0.1153846153846153,-5.0,62.0,13.0,4.0,2.0,1.89,2.6500000000000004,,9.169899174576026e-05
cluster_5424222000_664446587,priority,False,6,6,25.93,22.574877029641293,88.34870365263846,9.0,20.087777777777777,18.0,0.0,0.02,75.75266666666667,0.1,1.4606666666666668,6.5873333333333335,0.05,-0.0477777777777777,-5.0,91.0,18.0,8.0,2.0,2.115,3.055,,8.438129775384544e-05
