node_id,total_vehicle_count,mean_speed_ms,max_speed_observed_ms,total_halting_count,mean_occupancy_pct,mean_gap_m,min_gap_m,mean_rel_velocity_ms,mean_time_gap_s,min_time_gap_s,mean_acceleration_ms2,min_acceleration_ms2,total_hard_brakes,num_lane_rows
1190100439,2,12.506666666666668,15.15,0,0.0033333333333333335,51.120000000000005,7.85,-0.21333333333333335,4.523333333333333,1.22,0.37333333333333335,-2.49,0,6
1190100487,1,10.984,12.5,0,0.008,65.675,55.7,1.145,6.12,4.96,0.05800000000000001,-2.12,0,5
1190100495,2,10.422857142857142,12.43,0,0.011428571428571429,108.4775,23.22,-1.5225,14.287500000000001,2.06,0.11571428571428573,-1.8,0,7
1190100498,5,10.96625,13.49,0,0.05625,45.3725,6.13,-0.94125,4.69375,1.03,0.41625,-2.31,0,8
1190100514,1,12.022,15.03,0,0.001,107.765,82.62,2.075,11.09,6.47,-0.31199999999999994,-5.0,21,10
1190128192,3,19.2425,17.99,0,0.025,66.19875,15.36,5.055,4.4,1.01,0.05375,-3.23,2,8
1190128202,1,13.225000000000001,13.78,0,0.01,,,,,,0.04,-2.04,0,2
1190128206,0,13.889999999999999,13.89,0,0.0,35.675,9.74,0.1625000000000002,6.6225,1.15,-1.3092307692307692,-5.0,39,13
1190128211,2,13.592173913043478,16.3,0,0.012173913043478262,38.85842105263158,1.29,3.9252631578947366,5.120526315789474,0.69,-0.7869565217391304,-5.0,86,23
1190128222,1,13.751764705882353,15.4,0,0.0023529411764705885,73.86,5.74,0.213,10.155,0.71,-0.1064705882352941,-5.0,42,17
1190128225,6,7.726923076923076,12.03,0,0.013846153846153845,110.654,30.23,-0.26400000000000007,16.61,2.55,-0.6423076923076922,-5.0,16,13
1190128237,1,10.934000000000001,12.05,0,0.028000000000000004,75.13,74.67,0.47,6.92,6.67,0.122,-1.94,0,5
1190128241,6,12.304444444444446,15.48,3,0.04611111111111111,50.075384615384614,0.0,-1.3038461538461539,7.821818181818182,0.5,0.27222222222222225,-5.0,35,18
1190128257,1,13.733125000000001,13.87,0,0.003125,52.83,1.89,-0.97,7.808461538461538,0.68,-0.948125,-5.0,77,16
1190128270,0,11.11,12.81,0,0.0,54.91,46.84,0.47,5.8100000000000005,4.46,0.127,-1.98,0,10
1190128289,19,9.701538461538462,15.28,12,0.08230769230769232,28.689230769230768,0.0,-0.6969230769230769,4.404615384615385,0.51,0.5746153846153846,-5.0,55,13
1190128318,0,11.11,11.5,0,0.0,21.82,21.49,-0.68,2.09,2.02,-0.18499999999999997,-2.11,0,6
1190128320,4,12.727692307692308,15.28,0,0.013846153846153845,85.92181818181818,1.3,4.852727272727273,10.31,0.78,0.556923076923077,-5.0,38,13
1190128334,0,12.5,15.56,0,0.0,81.86,37.85,-0.99,14.6625,4.04,-0.734,-5.0,31,10
1190128345,0,11.11,12.33,0,0.0,74.45,49.25,0.044999999999999984,7.4350000000000005,4.97,0.028749999999999994,-2.05,0,8
1190128349,0,2.78,3.25,0,0.0,53.1925,21.93,-4.1575,19.745,9.29,0.0425,-1.76,0,4
1191714317,1,2.335,3.04,0,0.08,,,,,,0.06,-1.77,0,2
1191714332,0,13.89,13.89,0,0.0,,,,,,-2.36,-5.0,13,3
1191714336,0,22.219999999999995,17.73,0,0.0,60.52307692307692,14.0,3.986923076923077,4.125384615384616,1.03,0.858,-2.55,0,15
1191714356,1,13.948000000000002,15.18,0,0.009,76.176,36.66,6.754,9.366,5.66,-0.368,-5.0,8,10
1191714373,3,17.68777777777778,17.99,0,0.015555555555555557,58.038125,6.91,1.481875,7.230625,0.93,-0.0016666666666666774,-5.0,13,18
1191863687,1,2.6925,3.2,0,0.0075,9.84,8.56,-0.11,4.19,3.23,-0.07,-5.0,3,4
1191863693,1,11.86,14.68,0,0.006666666666666666,82.526,23.81,1.498,7.736,2.39,-0.49666666666666676,-5.0,21,9
1191863718,0,13.89,13.86,0,0.0,77.87,76.08,-1.42,6.97,5.52,-0.685,-5.0,7,2
1191863749,1,23.345384615384617,17.99,0,0.007692307692307692,31.0925,0.1,-0.3375,3.04375,0.61,-0.11538461538461539,-5.0,62,13
1191863774,1,10.4675,11.74,0,0.04,61.895,8.0,-0.7749999999999999,7.325,1.11,-0.6025,-5.0,2,4
1191863775,1,13.7925,13.79,0,0.0075,,,,,,-0.565,-5.0,15,4
1191863802,2,14.95125,15.03,0,0.0037500000000000003,54.8175,6.67,-0.12999999999999995,18.83,1.06,0.57875,-5.0,12,8
1191863826,2,11.4,15.59,0,0.025,10.81,8.92,-0.6499999999999999,1.085,0.99,0.735,-1.66,0,2
1191863830,0,2.78,3.44,0,0.0,85.565,68.4,-0.17,34.144999999999996,24.51,-0.7533333333333334,-4.0,2,3
1191863835,1,13.326666666666668,15.4,0,0.01,,,,,,1.09,-1.37,0,3
1191863841,2,13.605714285714287,14.39,0,0.004285714285714286,148.115,114.18,-0.48,13.7,10.62,0.4485714285714285,-2.11,0,7
1191863854,2,17.36,17.58,0,0.0275,17.025,11.61,3.7199999999999998,3.72,1.86,-0.9,-5.0,9,4
1191863867,1,10.348181818181818,13.72,0,0.004545454545454546,41.010000000000005,8.48,-0.36599999999999994,4.354,0.82,-0.05090909090909091,-5.0,7,11
1191863888,0,11.11,11.71,0,0.0,,,,,,0.02,-1.8,0,3
1191863899,1,13.821428571428571,13.89,0,0.004285714285714286,,,,,,0.2614285714285714,-2.42,0,7
1191863915,0,13.89,14.73,0,0.0,80.56,68.0,0.155,9.66,7.0,0.17555555555555558,-5.0,8,9
1191864018,0,16.67,17.27,0,0.0,45.49,43.44,1.55,5.63,4.2,0.6242857142857143,-2.16,0,14
13298747730,1,10.088333333333333,11.93,0,0.016666666666666666,11.546666666666667,7.63,-1.5266666666666666,1.5166666666666666,1.1,0.8566666666666668,-0.95,0,6
13298747731,1,10.788,11.92,0,0.008,20.783333333333335,9.99,-0.15,2.0,1.02,0.42800000000000005,-2.29,0,5
13298747732,0,11.11,10.07,0,0.0,9.5175,6.63,-1.21,1.2875,1.04,1.1375,-0.71,0,4
13298747734,0,11.11,10.83,0,0.0,,,,,,0.9533333333333333,-1.82,0,3
13298747735,0,11.11,12.27,0,0.005,90.28,90.02,-0.25,8.04,7.95,0.25,-2.22,0,4
13298747744,1,10.17,11.25,0,0.025,,,,,,1.4475,-0.87,0,4
13300645526,2,24.735,17.97,0,0.02375,17.368571428571432,0.0,0.7485714285714286,1.9171428571428568,0.55,0.10625,-5.0,19,8
13300645527,1,24.803333333333335,16.26,0,0.12000000000000001,7.569999999999999,0.0,-0.661111111111111,2.962222222222222,0.18,-0.2822222222222222,-5.0,17,9
13300645529,0,27.779999999999998,18.0,0,0.0,47.61909090909091,8.56,6.677272727272728,3.9136363636363636,1.01,0.6492307692307692,-4.75,3,13
13619904153,1,8.24,12.66,0,0.005,57.022499999999994,13.34,2.8275,5.3825,1.27,-0.15333333333333335,-4.58,4,6
13974625517,0,27.78,18.0,0,0.0,,,,,,-0.09,-1.77,0,1
13974625520,5,17.839285714285715,14.29,0,0.018571428571428572,99.8190909090909,8.8,-5.22,14.811818181818182,1.11,-0.7207142857142858,-5.0,62,14
