node_id,distance_to_node,time,ego_id,foe_id,min_ttc,max_drac,pet
cluster_13298747747_13298747748_13298747749_13298747755_#2more,0.000165506739251685,102.5,135,108,1.5,1.03,
cluster_13298747747_13298747748_13298747749_13298747755_#2more,0.00013068577469212077,163.0,135,231,2.25,1.77,
8021489624,0.00010328564890433726,167.0,240,108,1.22,2.28,
cluster_13298740740_664446558,9.516579088573399e-05,159.0,53,194,1.23,3.16,
cluster_13298740740_664446558,9.516579088573399e-05,160.5,53,137,2.16,2.26,
cluster_13298740740_664446558,9.516579088573399e-05,165.5,53,187,2.32,3.08,
1177211785,9.190726687617251e-05,157.5,263,189,1.08,2.68,
cluster_11944729366_664471711,0.00010153680858978512,174.0,227,178,2.77,1.44,2.79
1177161549,6.846807797006852e-05,153.0,245,126,2.52,2.86,
1177160864,8.078959136031907e-05,156.5,245,163,1.32,1.62,
cluster_10281958925_10281958926_6508834064_6508834065_#1more,0.00013983108825149987,176.5,205,292,1.99,0.84,
664446557,5.08964480386223e-06,168.0,75,202,,1.37,0.98
1177160864,3.1036435113832645e-05,147.0,101,229,2.38,2.12,
1177160864,7.756573403145904e-05,156.5,101,209,1.08,3.99,
1177160864,4.803639290523733e-05,162.5,101,241,2.81,2.47,
cluster_13298747747_13298747748_13298747749_13298747755_#2more,0.00013068577469212077,163.0,231,135,2.25,1.77,
cluster_10281958925_10281958926_6508834064_6508834065_#1more,0.00013983108825149987,176.5,292,205,1.99,0.84,
cluster_664446535_8507351665_8507351666,9.695203924335271e-05,156.0,211,175,1.17,3.52,
1177160864,8.973246473213677e-05,144.0,229,241,1.29,3.58,
1177160864,3.1036435113832645e-05,147.0,229,101,2.38,2.12,
1177160864,8.973246473213677e-05,152.5,229,126,2.65,2.28,
1177160864,7.756573403145904e-05,159.5,229,209,2.31,3.34,
cluster_13298747747_13298747748_13298747749_13298747755_#2more,0.000165506739251685,102.5,108,135,1.5,1.03,
cluster_13298747747_13298747748_13298747749_13298747755_#2more,0.00013068577469212077,160.5,108,231,1.28,2.66,
8021489624,0.00010328564890433726,167.0,108,240,1.22,2.28,
cluster_11944729366_664471711,0.00010153680858978512,174.0,178,227,2.77,1.44,2.79
664446557,5.08964480386223e-06,168.0,202,75,,1.37,0.98
cluster_664446535_8507351665_8507351666,9.695203924335271e-05,157.5,211,179,2.15,2.38,
664472699,4.2112382595158814e-05,161.5,252,163,2.24,2.85,
cluster_664446535_8507351665_8507351666,0.00012622536242626344,170.5,125,175,2.04,3.17,
1177160864,0.00013803271541119012,153.0,241,126,2.97,0.97,
1177160864,4.803639290523733e-05,162.5,241,101,2.81,2.47,
1177160864,7.756573403145904e-05,162.5,241,209,2.99,2.47,
1177160864,8.078959136031907e-05,156.5,163,245,1.32,1.62,
664472699,4.2112382595158814e-05,161.5,163,252,2.24,2.85,
1177160864,0.00013803271541119012,153.0,126,241,2.97,0.97,
1177161549,6.846807797006852e-05,153.0,126,245,2.52,2.86,
1177160864,8.973246473213677e-05,155.0,126,229,2.65,2.28,
cluster_10279701142_664471710,0.00015736817525605727,177.0,126,282,1.33,3.07,
1177212157,9.380756195165014e-05,99.0,13,105,1.04,4.17,
1177212157,9.283998643543631e-05,117.5,22,105,1.82,2.82,
1177212157,9.380756195165014e-05,99.0,105,13,1.04,4.17,
1177212157,9.283998643543631e-05,117.5,105,22,1.82,2.82,
1177212157,9.283998643543631e-05,123.0,105,30,2.5,2.66,
1177212157,9.283998643543631e-05,126.5,105,83,2.89,2.41,
13300645527,3.7459916734500704e-05,137.5,105,180,1.48,0.62,
1190128320,7.802819377341827e-05,148.0,239,146,1.0,2.26,
1177161219,9.40477729396916e-06,180.5,198,237,,2.52,1.69
cluster_664446535_8507351665_8507351666,0.00015549915217002465,170.5,125,179,1.77,3.47,
1190128320,7.802819377341827e-05,148.0,146,239,1.0,2.26,
1190128320,1.2995452321157609e-05,159.5,146,107,2.06,3.14,1.33
1177161154,0.00010896477009468989,115.5,193,160,0.96,1.77,
1177161219,9.40477729396916e-06,180.5,237,198,,2.52,1.69
1177212157,0.00012266840361160848,117.5,22,13,1.22,3.14,
cluster_10279761592_11942000229_11942000233_663943274,0.00015794744118605657,131.0,88,103,1.08,3.46,
cluster_10279761592_11942000229_11942000233_663943274,0.0001247070304955857,149.5,88,153,1.87,2.53,
cluster_10279761592_11942000229_11942000233_663943274,0.0001247070304955857,151.0,88,113,2.45,1.64,
cluster_10279761592_11942000229_11942000233_663943274,0.0001247070304955857,163.5,88,188,2.65,1.98,
cluster_10279761592_11942000229_11942000233_663943274,0.00015794744118605657,131.0,103,88,1.08,3.46,
cluster_10279761592_11942000229_11942000233_663943274,0.00011941785219705595,131.5,103,111,1.84,2.67,
cluster_664446535_8507351665_8507351666,0.0001586123772802133,111.0,145,179,1.69,2.38,
cluster_664446535_8507351665_8507351666,0.00012820466296385805,147.5,145,175,2.5,0.86,
cluster_664446535_8507351665_8507351666,0.0001586123772802133,111.0,179,145,1.69,2.38,
1177161154,3.0388487508796733e-05,181.5,248,160,,2.39,1.54
13300645527,4.6371916714681386e-05,176.0,105,220,2.72,2.18,
cluster_10279701142_664471710,0.00016240459418535858,186.0,178,282,2.46,2.27,
1189868548,8.608654052376692e-05,184.5,213,126,2.33,1.63,
1177161154,0.00010896477009468989,115.5,160,193,0.96,1.77,
1177161631,9.421949300349944e-06,131.0,160,123,,3.0,
