node_id,distance_to_node,time,ego_id,foe_id,min_ttc,max_drac,pet
cluster_10279701142_664471710,0.00012459178333715142,103.0,144,98,1.25,2.4,
cluster_10279701142_664471710,0.00016270771232772943,113.0,185,98,1.75,2.27,
cluster_13298740740_664446558,5.9092424454417275e-06,155.0,53,57,,3.34,
cluster_10279701142_664471710,0.00012459178333715142,108.5,134,144,2.33,1.95,
cluster_10279701142_664471710,0.00012459178333715142,108.0,144,134,2.33,1.95,
cluster_10279701142_664471710,0.00012459178333715142,123.5,144,185,2.3,1.91,
1177160864,5.882303348763076e-05,128.5,65,209,2.79,1.52,
1177160864,5.882303348763076e-05,128.5,209,65,2.79,1.52,
cluster_10279701141_664472702,9.386762991074034e-05,153.0,209,170,1.7,2.13,
1177160864,7.756573403145904e-05,156.5,209,101,1.08,3.99,
cluster_13298747733_13298747737_663825864,0.00012048693306874763,130.5,214,43,1.09,1.58,
cluster_13298747733_13298747737_663825864,0.00012048693306874763,138.5,43,214,1.09,1.58,
1190128320,1.2995452321157609e-05,159.5,107,146,2.06,3.14,1.33
1177160864,7.756573403145904e-05,159.5,209,229,2.31,3.34,
1177160864,7.756573403145904e-05,162.5,209,241,2.99,2.47,
cluster_10281958925_10281958926_6508834064_6508834065_#1more,0.00021882949897390083,149.0,206,102,1.2,3.18,
cluster_10281958925_10281958926_6508834064_6508834065_#1more,0.00021882949897390083,153.5,206,223,1.9,3.18,
cluster_10279701142_664471710,0.0001654233986334615,101.5,98,134,1.49,1.83,
cluster_10279701142_664471710,0.00012459178333715142,103.0,98,144,1.25,2.4,
cluster_10279701142_664471710,0.00016270771232772943,113.0,98,185,1.75,2.27,
cluster_10279701142_664471710,9.304437439200257e-05,117.0,98,2,2.32,1.23,
cluster_10279701142_664471710,9.771177239537115e-05,154.0,141,98,0.95,1.82,
13974625520,2.362732760235373e-05,163.5,215,212,3.02,2.68,1.39
1177160864,8.973246473213677e-05,144.0,241,229,1.29,3.58,
cluster_10281958925_10281958926_6508834064_6508834065_#1more,0.0002563532857863883,145.5,102,223,0.94,3.56,
cluster_10281958925_10281958926_6508834064_6508834065_#1more,0.00021882949897390083,149.0,102,206,1.2,3.18,
13974625520,2.362732760235373e-05,163.0,212,215,3.02,2.68,1.39
cluster_10281958925_10281958926_6508834064_6508834065_#1more,0.0002563532857863883,145.5,223,102,0.94,3.56,
cluster_10281958925_10281958926_6508834064_6508834065_#1more,0.00021882949897390083,153.5,223,206,1.9,3.18,
